MONTH,BTC_NEWS_SEARCH
2017-10,27
2017-11,57
2017-12,100
2018-01,77
2018-02,67
2018-03,47
2018-04,34
2018-05,28
2018-06,24
2018-07,26
2018-08,27
2018-09,20
2018-10,21
2018-11,28
2018-12,24
2019-01,17
2019-02,17
2019-03,13
2019-04,25
2019-05,33
2019-06,28
2019-07,28
2019-08,23
2019-09,24
2019-10,22
2019-11,20
2019-12,18
2020-01,22
2020-02,21
2020-03,20
2020-04,19
2020-05,25
2020-06,14
2020-07,16
2020-08,18
2020-09,21
2020-10,23
2020-11,35
2020-12,46
2021-01,75
2021-02,87
2021-03,66
2021-04,60
2021-05,83
2021-06,68
2021-07,45
2021-08,40
2021-09,47
2021-10,55
2021-11,53
2021-12,47
2022-01,59
2022-02,42
2022-03,34
2022-04,31
2022-05,42
2022-06,47
2022-07,30
2022-08,23
2022-09,18
2022-10,19
2022-11,29
2022-12,18
2023-01,19
2023-02,22
2023-03,22
2023-04,22
2023-05,19
2023-06,22
2023-07,20
2023-08,22
2023-09,18
